Name,Cuisine,Coordinate
Adriano's Pizza,Pizza;Wings;Poulet;Canadian;Ailes;Canadien;Chicken;Pasta;Pâtes,"(43.5962208, -79.5250904)"
Afghan Cuisine,Canadian;Vegetarian;Ice Cream & Frozen Treats;Santé;Desserts;Dessert;Asiatique;Asian;Mediterranean;Méditerranéen;Poulet;Middle Eastern;Crèmerie;Pitas;Canadien;Ben & Jerry's;Végétarien;Chicken;Moyen-Oriental;Healthy;International,"(43.70804628891396, -79.34296121006469)"
Afghan Grill House Inc.,Poulet;Fruits de mer;Vegetarian;Seafood;Indian;Halal;Végétarien;Chicken;Asiatique;Indien;Asian;International,"(43.624971, -79.6712424)"
Afghan Kabob Restaurant,Poulet;Vegetarian;Indian;Végétarien;Chicken;Dîner;Indien;Asiatique;Asian;International;Lunch,"(43.7651718, -79.19113579999998)"
Afghan Kebab & Shawarma,Vegetarian;Seafood;Fast Food;Mediterranean;Méditerranéen;Poulet;Middle Eastern;Pitas;Fruits de mer;Halal;Végétarien;Chicken;Prêt-à-manger;Moyen-Oriental;International,"(43.8204195, -79.1144103)"
Afghan Kebob Cuisine,Sandwichs et sous-marins;Poulet;Middle Eastern;Vegetarian;Indian;Végétarien;Chicken;Sandwiches & Subs;Indien;Moyen-Oriental;International,"(43.7154609, -79.55540769999999)"
Afghan Kebob Cuisine,Sandwichs et sous-marins;Vegetarian;$10 Lunch;Poulet;Middle Eastern;Indian;Végétarien;Chicken;Sandwiches & Subs;Moyen-Oriental;Indien;Diner 10$;International,"(43.577003, -79.6527543)"
African Chop Bar,Fait-maison;Poulet;Fruits de mer;Seafood;Africain;Santé;Chicken;Asiatique;Asian;Homemade;Healthy;African,"(43.7493958, -79.5532506)"
African Delight,Fish and Chips;Poisson-frites;Africain;Ethiopian;Éthiopien;African;International,"(43.6595425, -79.4374279)"
African Village,BBQ;Poulet;Fruits de mer;Seafood;$10 Lunch;Africain;Chicken;Barbecue;Diner 10$;African;International,"(43.7209889, -79.5370023)"
Afro Continental Bar & Grill,Fait-maison;Fruits de mer;Seafood;Africain;Homemade;African;International,"(43.7347284, -79.5599371)"
Afro Spice,Fait-maison;Poulet;Fruits de mer;Seafood;Africain;Chicken;Homemade;African;International,"(43.7632339, -79.4991241)"
Aiolio Trattoria,Italian;Fait-maison;Fruits de mer;Seafood;Européen;European;Dîner;Homemade;Italien;Lunch,"(43.7108148, -79.2487932)"
Airport Gate Steak & Grill,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Poisson-frites;Desserts;Dessert;Pitas;Fish and Chips;Pub Food;Bistro;Canadien;Déjeuner et brunch;Sandwiches & Subs;Steakhouse;Hamburgers;Donair,"(43.68713323089566, -79.59667777909851)"
Airport Sweets & Tandoori,Poulet;Fruits de mer;Vegetarian;Seafood;Indian;Santé;Végétarien;Chicken;Desserts;Indien;Dessert;Healthy,"(43.7628466, -79.7207509)"
Aji Sai,Vegetarian;Seafood;Sushis;Noodle Shop;Japanese;Asiatique;Asian;BBQ;Japonais;Nouilles;Poulet;Fruits de mer;Végétarien;Chicken;Sushi;Barbecue,"(43.679397252854976, -79.34175431842004)"
Aji Sai,Seafood;Sushis;Santé;Noodle Shop;Asiatique;Asian;Fait-maison;Nouilles;Poulet;Fruits de mer;Chicken;Sushi;Healthy;Homemade;International,"(43.6483773, -79.3974007)"
Aji Sai Sushi,Vegetarian;Seafood;Sushis;Santé;Noodle Shop;Japanese;Asiatique;Asian;BBQ;Japonais;Fait-maison;Nouilles;Poulet;Fruits de mer;Végétarien;Chicken;Sushi;Barbecue;Healthy;Homemade;International,"(43.8320902, -79.40542490000001)"
Aji Sushi Asian Restaurant,Japonais;Nouilles;Vegetarian;Sushis;Végétarien;Sushi;Noodle Shop;Japanese;Asiatique;Asian;International,"(43.7733596, -79.4930175)"
Ajisen Ramen,Japonais;Poulet;Nouilles;Fruits de mer;Seafood;Chicken;Noodle Shop;Japanese,"(43.7714785, -79.41298139999998)"
Ajisen Ramen,Coréen;Seafood;Korean;Santé;Noodle Shop;Japanese;BBQ;Japonais;Nouilles;Poulet;Fruits de mer;Chicken;Barbecue;Healthy,"(43.653871, -79.398839)"
Ajisen Ramen,Japonais;Nouilles;Poulet;Fruits de mer;Seafood;Chicken;Noodle Shop;Japanese,"(43.8202068, -79.3253433)"
Ajisen Ramen,Locally Sourced;Japonais;Fait-maison;Poulet;Nouilles;Source locale;Santé;Chicken;Noodle Shop;Japanese;Homemade;Healthy,"(43.8593407, -79.3047018)"
Akita Sushi,Vegetarian;Seafood;Sushis;Noodle Shop;Japanese;Asiatique;Asian;Japonais;Poulet;Nouilles;Fruits de mer;Chinese;Végétarien;Chicken;Sushi;Chinois;Fusion;International,"(43.7762487, -79.6030505)"
Al Kabab,Fait-maison;Poulet;Middle Eastern;Vegetarian;Halal;Santé;Végétarien;Chicken;Moyen-Oriental;Homemade;Healthy,"(43.6100524, -79.6970116)"
Al Madina Halal Pizza,Pizza;Wings;Poulet;Ailes;Chicken,"(43.7517496325, -79.2617949935)"
Al Madina Halal Pizza,Pizza;Wings;Poulet;Ailes;Indian;Halal;Chicken;Indien,"(43.8458586, -79.5350406)"
Al-Mani Grill & Biryani,Wings;Poulet;Middle Eastern;Fruits de mer;Ailes;Seafood;Indian;Chicken;Indien;Moyen-Oriental,"(43.6888991, -79.2995013)"
Al-Meezan's Spicy Grill,Vegetarian;Poisson-frites;Seafood;Asiatique;Asian;Mediterranean;Méditerranéen;Poulet;Middle Eastern;Fruits de mer;Fish and Chips;Halal;Végétarien;Chicken;Moyen-Oriental;International,"(43.7206848, -79.6131426)"
