,Name,Address,Cusine
295,Loose Moose,146 Front Street West,Sports Bars; Gastropubs; Canadian (New)
296,Fabarnak Community Cafe and Catering,519 Church Street,Cafes; Caterers
297,Copacabana Brazilian Steak House,150 Eglinton Avenue E,Brazilian; Steakhouses
298,Lahore Tikka House,1365 Gerrard Street E,Halal; Pakistani
299,Little India Restaurant,255 Queen Street W,Indian; Buffets
300,Rudy,619 College Street,Burgers; Fast Food; Sandwiches
301,Mothers Dumplings,421 Spadina Avenue,Chinese
302,Gyu-Kaku Japanese BBQ,81 Church Street,Japanese; Barbeque; Asian Fusion
303,Onnki Donburi,40 Hayden Street,Japanese
306,"Ay Caramba, Eh",65-3540 Rutherford Road,Mexican; Latin American
307,Subway,671 Danforth Avenue,Fast Food; Sandwiches
308,Salad House,13 Hayden Street,Salad
309,Simones Caribbean Restaurant,596 Danforth Avenue,Caribbean
310,Café Boulud,Located in Four Seasons Toronto,Cafes; Desserts; French
311,Sala Modern Thai Kitchen & Bar,1262 Danforth Avenue,Thai; Asian Fusion
312,Akira Back,80 Blue Jays Way,Japanese; Korean; Asian Fusion
313,Grey Gardens,199 Augusta Avenue,Wine Bars; Canadian (New)
314,Cocktail Bar,923 Dundas St W,Bars
315,Campechano Taquería,504 Adelaide Street W,Mexican
316,de Mello Palheta,2489 Yonge Street,Coffee & Tea; Bakeries; Desserts
317,Boxcar Social,1208 Yonge Street,Wine Bars; Coffee & Tea
321,Supernova Ballroom,330 Bay Street,Cocktail Bars
322,Farmr Eatery & Catering,140 The Esplanade,Canadian (New); Gluten-Free; Vegetarian
323,Gio Ranas Really Really Nice Restaurant,1220 Queen Street East,Italian; Tapas/Small Plates
324,Cest What,67 Front Street E,Breweries; Music Venues; Canadian (New)
325,Himalayan Kitchen,1526 Queen Street W,Indian; Himalayan/Nepalese
326,Beach Hill Smokehouse,172 Main Street S,Barbeque; Desserts; Sandwiches
327,Real Sports,15 York Street,Sports Bars; Canadian (New)
328,Aunties & Uncles,74 Lippincott Street,Breakfast & Brunch
329,Zezafoun Syrian Cuisine,4 Manor Road E,Syrian; Middle Eastern; Arabian
330,Raijin Ramen,24 Wellesley Street W,Ramen; Noodles; Soup
331,Adega Restaurante,33 Elm St,Portuguese; Spanish
332,Tashi Delek Cafe,223 Jameson Avenue,Himalayan/Nepalese; Cafes
335,Buddhas Vegan Foods,666 Dundas Street W,Vegetarian; Chinese; Vegan
336,Avenue Open Kitchen,7 Camden Street,Diners; Delis; Sandwiches
337,ImPerfect Fresh Eats,318 Adelaide Street W,Salad; Juice Bars & Smoothies; Acai Bowls
338,Big Trouble Pizza,235 Spadina Avenue,Pizza
339,Wafels & More,237 Augusta Avenue,Breakfast & Brunch; Waffles; Belgian
340,Kitten and the Bear,1414 Dundas Street W,Coffee & Tea; Specialty Food
341,Balzacs Distillery District,1 Trinity Street,Coffee & Tea; Venues & Event Spaces; Coffee Roasteries
342,Patois Toronto,794 Dundas Street W,Chinese; Asian Fusion; Caribbean
343,Mon K Patisserie,1040 Coxwell Avenue,Coffee & Tea; Bakeries
344,Momo Hut & Gardens,401 Danforth Avenue,Himalayan/Nepalese
349,7 West Cafe,7 Charles Street W,Italian; Breakfast & Brunch; Bars
350,Bean and Baker Malt Shop,326 Harbord Street,Ice Cream & Frozen Yogurt; Coffee & Tea; Patisserie/Cake Shop
351,Queen Mother Cafe,208 Queen Street W,Asian Fusion; Thai
352,Mamakas Taverna,80 Ossington Avenue,Greek; Mediterranean
353,Good Hombres,374 Bathurst Street,Mexican
354,Ricardas Toronto,134 Peter St,Mediterranean; Italian; Breakfast & Brunch
355,Sakawa Coffee & Japanese Restaurant,867 Danforth Ave,Japanese
356,Mezes,456 Danforth Avenue,Greek; Mediterranean
357,Porchetta & Co,545 King Street W,Sandwiches
358,NEO COFFEE BAR,161 Frederick St,Coffee & Tea; Bakeries
359,Olive + Lemon,3604 Major MacKenzie Dr W,Seafood; Italian; Pizza
363,Mother India,1456 Queen Street W,Indian
364,Town Crier Pub,115 John St,Pubs; German
365,Fusaros Kitchen,147 Spadina Avenue,Italian; Pizza
366,Dukes Refresher + Bar,382 Yonge Street,Burgers; American (Traditional); Beer Bar
367,Our Spot,180 Baldwin Street,Breakfast & Brunch; Coffee & Tea
368,Fat Pasha,414 Dupont Street,Middle Eastern
369,Maker Pizza,59 Cameron Street,Pizza
