Cuisine,Coordinates
Ice Cream & Frozen Yogurt; Desserts; Coffee & Tea,"(43.655055, -79.4175587)"
American (Traditional),"(43.668579, -79.395899)"
Japanese; Tapas Bars; Sushi Bars,"(43.6418468, -79.4310779)"
Caribbean; Salad; Cocktail Bars,"(43.6509573, -79.4131854)"
Italian; Pizza,"(43.6551467, -79.4134866)"
Steakhouses; Italian; Seafood,"(43.648505, -79.386687)"
Japanese,"(43.0394489, -80.8828377)"
Caterers; Bakeries; Desserts,"(43.6620741076923, -79.3348892846154)"
Dim Sum,"(43.6659781, -79.3875905)"
Dim Sum,"(44.1473008, -77.4081884)"
Pubs; Irish,"(43.6639293, -79.3689731)"
Pizza; Cocktail Bars,"(43.6435241, -79.4227423)"
Bars,"(43.6492386, -79.421082)"
Mexican,"(43.6645727333333, -79.3255695)"
Wine Bars; Italian,"(43.645138, -79.3973632)"
Fast Food; Poutineries,"(43.648518, -79.3877431)"
Diners; Breakfast & Brunch; American (Traditional),"(43.6613378, -79.3840301)"
Thai; Noodles,"(43.656276, -79.39966675)"
Food Delivery Services; Indian,"(43.671088, -79.3909925)"
Coffee & Tea,"(43.646986, -79.4005755)"
Coffee & Tea,"(43.6511922857143, -79.3752992857143)"
Arcades; Bars,"(43.6517699166667, -79.4092651833333)"
Vietnamese,"(43.654436, -79.398953)"
Mediterranean; Moroccan; Middle Eastern,"(43.6490818, -79.4205073)"
Cafes; Cocktail Bars,"(43.6039517412601, -79.6066578712961)"
Vegan; Vegetarian,"(43.6416536, -79.432112)"
Dim Sum; Seafood; Noodles,"(43.6384591, -79.3801324)"
Ice Cream & Frozen Yogurt,"(43.264206, -79.95369)"
Coffee & Tea; Turkish; Internet Cafes,"(43.707874, -79.3931884)"
Steakhouses; Seafood; Lounges,"(43.64993865, -79.3853803728614)"
Italian,"(43.6695014, -79.3973053)"
Cocktail Bars,"(43.6557298, -79.3843629)"
Canadian (New),"(43.6689007, -79.3826490992657)"
Diners; Canadian (New),"(43.64955685, -79.4203200964309)"
Fast Food; Poutineries,"(43.6434254, -79.4231939)"
Indian,"(43.6631513, -79.4219757)"
Coffee & Tea,"(43.707044, -79.396175)"
Burgers; Breakfast & Brunch; Bars,"(48.437734, -89.2312358)"
Spanish,"(43.6449167, -79.4158356)"
Coffee & Tea,"(43.66267885, -79.3336490710893)"
Delicatessen; Sandwiches,"(43.6653593, -79.4706369)"
Ice Cream & Frozen Yogurt,"(43.6820431, -79.4188975)"
Coffee & Tea,"(43.648113, -79.3844605467909)"
Steakhouses; Bars,"(44.21935025, -76.5134725827835)"
Italian; Venues & Event Spaces,"(43.670032, -79.392816)"
Vietnamese,"(43.7305496217391, -79.4665317)"
Indian,"(43.648552, -79.3720365)"
Tapas Bars,"(43.6487145, -79.3721364)"
Gastropubs,"(43.6705986, -79.3929564300385)"
Japanese; Sushi Bars; Asian Fusion,"(43.6485699, -79.397782)"
Landmarks & Historical Buildings,"(43.6536032, -79.3840054746967)"
Coffee & Tea; Coffee Roasteries; Cafes,"(46.28691031276, -81.7605877215347)"
Dinner Theater; American (Traditional),"(43.8682676, -79.867843)"
Italian; Lounges,"(43.6715676, -79.3884266)"
French,"(43.6712928, -79.3920088)"
Pizza; Turkish,"(43.6797272157895, -79.3415910736842)"
Mexican,"(42.9985193, -81.2596977)"
Chicken Wings; Taiwanese; Fast Food,"(43.6588562, -79.3821679)"
Sushi Bars; Japanese,"(43.66561, -79.387169)"
Sandwiches; Pubs,"(43.66291795, -79.367603875)"
Japanese; Fast Food,"(43.654999, -79.386381)"
Ramen,"(43.648699, -79.397211)"
Japanese; Bars,"(43.666753, -79.385455)"
Sushi Bars; Asian Fusion; Poke,"(43.7075548, -79.3983193)"
Japanese,"(43.264549, -79.9516669)"
Vegetarian; Vegan; Gluten-Free,"(43.2573701, -79.8701871441768)"
Bars; Asian Fusion,"(43.67243925, -79.32075005)"
Steakhouses; Bars; Seafood,"(43.6466575, -79.3749662)"
Japanese; Seafood,"(43.650853, -79.376001)"
Mexican,"(43.6547204, -79.4022615444444)"
Italian; Seafood; Pizza,"(43.8452512623755, -79.5570956086677)"
Italian; Pizza,"(43.6693760153846, -79.4130696038462)"
Desserts; Patisserie/Cake Shop; Bakeries,"(43.7114634, -79.3991804)"
Burgers,"(43.7326128, -79.4038844)"
Persian/Iranian,"(44.1756661, -77.3953268)"
Canadian (New); Cocktail Bars,"(43.6453893, -79.3961396)"
Caribbean; Vegetarian,"(43.6666987, -79.4120339)"
Japanese; Sushi Bars; Tapas Bars,"(43.7047805538461, -79.4069715076923)"
Ramen,"(43.6617704, -79.3791012)"
Asian Fusion; Sushi Bars,"(43.6485093, -79.4206039)"
Mexican,"(43.6430943, -79.4476225)"
Desserts; Patisserie/Cake Shop,"(43.654927, -79.386802)"
Cheesesteaks; Sandwiches,"(43.6490620526316, -79.3915015789474)"
Mediterranean; Middle Eastern; Halal,"(43.664782, -79.385776)"
Coffee & Tea; Sandwiches; Bakeries,"(43.4555829, -80.5090028703017)"
Mexican,"(43.6502871, -79.3887141)"
Caribbean,"(43.6566613846154, -79.3992273846154)"
Bakeries; Delis,"(45.38959455, -75.6865006713083)"
Gluten-Free; Vegetarian; Vegan,"(45.4015413, -75.7193390404712)"
Steakhouses,"(43.6691956, -79.3946177)"
Bakeries; Italian; Delicatessen,"(43.676532, -79.4486337)"
Chinese,"(43.6739865, -79.470624)"
Italian,"(43.6517986, -79.4077909823529)"
Coffee & Tea; Bakeries,"(43.6481395, -79.3897951)"
Coffee & Tea,"(43.6437266, -79.4217317)"
Vegan; Salad; Juice Bars & Smoothies,"(43.7073671, -79.3960657)"
Korean,"(43.6641492, -79.4151744)"
Asian Fusion; Chinese,"(43.6515083, -79.3971185)"
Afghan; Kebab,"(43.669092, -79.386166)"
Breakfast & Brunch; Canadian (New); Bars,"(42.9989753, -79.3623008)"
Bubble Tea,"(43.7387624865723, -79.4020904615362)"
Ramen; Desserts,"(43.6501898, -79.3891371)"
Chinese; Noodles,"(43.6504392, -79.3890162)"
Ramen,"(43.6392301551456, -79.3981945345631)"
Breakfast & Brunch; Chocolatiers & Shops,"(43.6501713, -79.3606229)"
Desserts; Bakeries; Ice Cream & Frozen Yogurt,"(43.6463684, -79.3946189)"
Bakeries,"(43.6584838, -79.488056)"
Hotels; Lounges,"(43.64276815, -79.4269251064553)"
Breakfast & Brunch,"(43.70534519, -79.37521302)"
Barbeque; American (Traditional); Sandwiches,"(43.6522566, -79.3978725)"
Thai,"(43.6523701, -79.3752239)"
Italian,"(43.64498685, -79.3858647904376)"
Middle Eastern; Mediterranean,"(43.705575125, -79.375302)"
Barbeque,"(43.6455733, -79.3523147)"
Korean; Barbeque,"(43.6658803, -79.4067052)"
