Name,Address,Cusine
Hothouse,35 Church Street,Italian; Bars; Venues & Event Spaces
Graffiti Alley,513 Queen Street W,Public Art
Pizzeria Via Mercanti,188 Augusta Avenue,Pizza; Italian
Greg’s Ice Cream,750 Spadina Avenue,Ice Cream & Frozen Yogurt
Sushi & BBbop,384 Yonge Street,Sushi Bars; Korean; Japanese
Piano Piano,88 Harbord Street,Italian; Pizza
Foxley Bistro and Bar,207 Ossington Avenue,Asian Fusion; Tapas Bars
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Flame Food+Design,2197 Bloor Street W,Turkish; Canadian (New)
Black Canary Espresso Bar,329 Yonge Street,Coffee & Tea
Buster’s Sea Cove,93 Front Street E,Seafood
Dirty Food Eatery,3070 Dundas Street W,Breakfast & Brunch; Comfort Food
Frankie’s,994 Queen Street W,Breakfast & Brunch; Diners
Mos Mos,25 King Street W,Cafes; Coffee & Tea
Kit Kat Italian Bar & Grill,297 King Street W,Italian; Mediterranean
Dessert Lady Café,12 Cumberland St,Bakeries; Desserts
Evviva Breakfast & Lunch - Downtown Toronto,25 Lower Simcoe,Breakfast & Brunch
Rooster Coffee House,343 King Street E,Coffee & Tea; Sandwiches
Sud Forno,716 Queen Street W,Italian; Bakeries; Sandwiches
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
